"gene","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url"
"SERPING1",2,0,2,2,1,35.2608691130139,0.0309545938619022,0.419558372364883,0.000468310958476428,0.853956228956229,0.338623248145095,2.41520250429343,"YES","MULTIDATASET_LOW_EXPRESSION",0.853956228956229,0.926346801346801,-0.0723905723905723,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SFRP1",0,3,3,2,4,2.62417029607405,19.7144015837245,0.0535560619136611,0.203724184000631,0.715909090909091,0.820898598516076,1.48041424266323,"NO","MULTIDATASET_LOW_EXPRESSION",0.715909090909091,0.873316498316498,-0.157407407407407,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SFRP2",0,0,0,0,0,0.13520371114647,0.0295755386115093,0.00171566087294715,0.000535754374161847,0.512205387205387,0.401277823577906,0.114288901720945,"NO","NOT_RELIABLY_EXPRESSED",0.512205387205387,0.884259259259259,-0.372053872053872,"UC_LOWER_CONTEXT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SFTPA1",0,0,0,0,0,0,0,0,0,0.0536616161616162,0.199505358615004,0,"NO","NOT_RELIABLY_EXPRESSED",0.0536616161616162,0.11952861952862,-0.0658670033670034,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SFTPA2",0,0,0,0,0,0.00881525617330227,0,0.00021914899680122,0,0.242003367003367,0.199505358615004,0.00660476797910502,"NO","NOT_RELIABLY_EXPRESSED",0.242003367003367,0.197811447811448,0.0441919191919192,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SFTPD",0,0,0,0,0,0.0104567776689787,0.0192573406575419,0.000258395464619116,0.000379650721336371,0.262415824915825,0.323371805441055,0.0443726183049014,"YES","NOT_RELIABLY_EXPRESSED",0.262415824915825,0.324915824915825,-0.0625,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SHBG",0,0,0,2,0,2.05596153262354,0.202605755983304,0.0506338497581055,0.00366130015111063,0.692340067340067,0.570486397361913,0.724110147371951,"NO","NOT_RELIABLY_EXPRESSED",0.692340067340067,0.592592592592593,0.0997474747474747,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SHH",0,0,0,0,0,0.0195758581897411,0.0166708299285942,0.000489002790276205,0.000252270433905146,0.342382154882155,0.337180544105524,0.0397314045284704,"YES","NOT_RELIABLY_EXPRESSED",0.342382154882155,0.314393939393939,0.0279882154882155,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SHISA4",2,4,6,2,4,39.2681171848182,28.6752046965879,0.595633389673765,0.317981614331566,0.891414141414142,0.85840890354493,0.33759828815291,"NO","ROBUST_BASELINE_SENDER",0.891414141414142,0.864057239057239,0.0273569023569024,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SI",0,0,0,0,0,0.0143474693552518,0,0.000359805057966647,0,0.302188552188552,0.199505358615004,0.0106685984024617,"NO","NOT_RELIABLY_EXPRESSED",0.302188552188552,0.307239057239057,-0.00505050505050503,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC1",0,0,0,0,0,0.0186643851473606,0,0.000454627803708598,0,0.313131313131313,0.199505358615004,0.0168423943803698,"NO","NOT_RELIABLY_EXPRESSED",0.313131313131313,0.365319865319865,-0.0521885521885522,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
